"customer_id","recency_days","frequency","monetary","first_purchase_date","last_purchase_date","avg_order_value","region","is_repeat_customer"
"13054BA","85","3","1781.86","2013-08-18","2016-05-08","593.95","中国澳门","1"
"13055BA","80","3","484.96","2013-08-04","2016-05-13","161.65","中国澳门","1"
"13056BA","75","3","1542.96","2013-08-09","2016-05-18","514.32","中国澳门","1"
"13057BA","372","1","274.89","2015-07-26","2015-07-26","274.89","西南区","0"
"13058BA","374","1","7858.99","2015-07-24","2015-07-24","7858.99","韩国","0"
"13059BA","78","3","184.96","2013-08-10","2016-05-15","61.65","中国澳门","1"
"13060BA","79","3","6339.96","2013-08-10","2016-05-14","2113.32","中国澳门","1"
"13061BA","301","1","293.89","2015-10-05","2015-10-05","293.89","西北区","0"
"13062BA","380","1","1653.98","2015-07-18","2015-07-18","1653.98","西南区","0"
"13063BA","104","2","624.97","2015-07-25","2016-04-19","312.49","西南区","1"
"13064BA","164","2","1867.00","2015-11-09","2016-02-19","933.50","西南区","1"
"13065BA","82","3","2491.96","2013-08-31","2016-05-11","830.65","中国澳门","1"
"13066BA","92","2","3187.90","2015-10-12","2016-05-01","1593.95","中国澳门","1"
"13067BA","78","3","743.76","2013-08-09","2016-05-15","247.92","中国澳门","1"
"13068BA","71","3","483.96","2013-08-06","2016-05-22","161.32","中国澳门","1"
"13069BA","35","3","2670.96","2013-08-13","2016-06-27","890.32","中国澳门","1"
"13070BA","92","2","6965.90","2015-09-10","2016-05-01","3482.95","西南区","1"
"13071BA","71","3","1998.85","2013-08-23","2016-05-22","666.28","中国澳门","1"
"13072BA","28","2","3206.90","2016-07-01","2016-07-04","1603.45","中国澳门","1"
"13073BA","247","3","5931.87","2013-08-20","2015-11-28","1977.29","中国澳门","1"
"13074BA","377","1","274.89","2015-07-21","2015-07-21","274.89","西南区","0"
"13075BA","244","3","883.87","2013-08-06","2015-12-01","294.62","中国澳门","1"
"13076BA","236","3","4090.87","2013-08-03","2015-12-09","1363.62","中国澳门","1"
"13077BA","243","3","2782.77","2013-08-29","2015-12-02","927.59","中国澳门","1"
"13078BA","253","3","204.87","2013-08-25","2015-11-22","68.29","中国澳门","1"
"13079BA","239","3","883.87","2013-09-09","2015-12-06","294.62","中国澳门","1"
"13080BA","319","3","4504.00","2015-08-22","2015-09-17","1501.33","中国澳门","1"
"13081BA","218","3","1742.87","2013-09-19","2015-12-27","580.96","中国澳门","1"
"13082BA","229","3","2442.87","2013-09-13","2015-12-16","814.29","中国澳门","1"
"13083BA","387","1","473.89","2015-07-11","2015-07-11","473.89","西北区","0"
"13084BA","382","1","2431.99","2015-07-16","2015-07-16","2431.99","西北区","0"
"13085BA","369","1","2053.99","2015-07-29","2015-07-29","2053.99","西南区","0"
"13086BA","19","2","8435.00","2015-08-14","2016-07-13","4217.50","西南区","1"
"13087BA","132","2","6965.90","2015-12-02","2016-03-22","3482.95","西北区","1"
"13088BA","17","2","7005.80","2016-02-19","2016-07-15","3502.90","西北区","1"
"13089BA","113","3","6231.90","2015-11-01","2016-04-10","2077.30","中国澳门","1"
"13090BA","239","3","164.97","2013-10-18","2015-12-06","54.99","中国澳门","1"
"13091BA","217","3","11638.97","2013-10-29","2015-12-28","3879.66","中国澳门","1"
"13092BA","59","3","7684.00","2015-09-02","2016-06-03","2561.33","中国澳门","1"
"13093BA","228","3","2021.97","2013-10-01","2015-12-17","673.99","中国澳门","1"
"13094BA","161","3","6642.80","2015-09-24","2016-02-22","2214.27","中国澳门","1"
"13095BA","247","3","7653.90","2015-09-24","2015-11-28","2551.30","中国澳门","1"
"13096BA","219","3","1522.97","2013-10-29","2015-12-26","507.66","中国澳门","1"
"13097BA","222","3","363.97","2013-10-22","2015-12-23","121.32","中国澳门","1"
"13098BA","231","3","583.87","2013-10-16","2015-12-14","194.62","中国澳门","1"
"13099BA","1","16","25018.50","2015-08-19","2016-07-31","1563.66","韩国","1"
"13100BA","28","3","4145.00","2015-09-16","2016-07-04","1381.67","中国澳门","1"
"13101BA","220","3","3232.87","2013-10-11","2015-12-25","1077.62","中国澳门","1"
"13102BA","291","2","5366.00","2015-08-16","2015-10-15","2683.00","西南区","1"
"13103BA","84","2","2171.87","2015-07-26","2016-05-09","1085.94","西南区","1"
"13104BA","82","2","2692.87","2015-07-10","2016-05-11","1346.44","西南区","1"
"13105BA","69","2","4681.97","2015-07-08","2016-05-24","2340.99","西北区","1"
"13106BA","21","2","4266.90","2016-06-08","2016-07-11","2133.45","西南区","1"
"13107BA","39","2","4306.80","2016-01-03","2016-06-23","2153.40","西南区","1"
"13108BA","173","2","5236.00","2015-08-29","2016-02-10","2618.00","西南区","1"
"13109BA","78","2","2021.87","2015-07-17","2016-05-15","1010.94","西南区","1"
"13110BA","72","2","1303.67","2015-07-02","2016-05-21","651.84","西南区","1"
"13111BA","69","3","511.87","2014-02-07","2016-05-24","170.62","西南区","1"
"13112BA","21","28","67336.20","2015-08-02","2016-07-11","2404.86","韩国","1"
"13113BA","222","3","1662.97","2013-10-09","2015-12-23","554.32","中国澳门","1"
"13114BA","235","3","843.67","2013-10-08","2015-12-10","281.22","中国澳门","1"
"13115BA","18","3","5253.00","2015-10-09","2016-07-14","1751.00","中国澳门","1"
"13116BA","218","3","2742.87","2013-10-02","2015-12-27","914.29","中国澳门","1"
"13117BA","183","3","183.97","2013-10-12","2016-01-31","61.32","中国澳门","1"
"13118BA","189","3","2383.87","2013-10-05","2016-01-25","794.62","中国澳门","1"
"13119BA","105","3","2827.00","2015-08-15","2016-04-18","942.33","中国澳门","1"
"13120BA","212","3","4180.97","2013-10-08","2016-01-02","1393.66","中国澳门","1"
"13121BA","175","3","1761.87","2013-10-17","2016-02-08","587.29","中国澳门","1"
"13122BA","214","3","1861.87","2013-10-30","2015-12-31","620.62","中国澳门","1"
"13123BA","51","3","3135.00","2016-01-17","2016-06-11","1045.00","中国澳门","1"
"13124BA","237","3","2782.77","2013-10-16","2015-12-08","927.59","中国澳门","1"
"13125BA","228","3","2812.97","2013-11-04","2015-12-17","937.66","中国澳门","1"
"13126BA","238","3","1572.97","2013-11-14","2015-12-07","524.32","中国澳门","1"
"13127BA","228","3","164.97","2013-11-18","2015-12-17","54.99","中国澳门","1"
"13128BA","222","3","803.77","2013-11-01","2015-12-23","267.92","中国澳门","1"
"13129BA","220","3","1033.87","2013-11-03","2015-12-25","344.62","中国澳门","1"
"13130BA","219","3","3029.97","2013-11-10","2015-12-26","1009.99","中国澳门","1"
"13131BA","162","3","1522.97","2013-11-01","2016-02-21","507.66","中国澳门","1"
"13132BA","160","3","4860.97","2013-11-20","2016-02-23","1620.32","中国澳门","1"
"13133BA","149","3","772.87","2013-11-25","2016-03-05","257.62","中国澳门","1"
"13134BA","283","3","5053.90","2015-08-05","2015-10-23","1684.63","中国澳门","1"
"13135BA","34","3","5074.80","2015-09-19","2016-06-28","1691.60","中国澳门","1"
"13136BA","27","3","7534.99","2015-08-14","2016-07-05","2511.66","中国澳门","1"
"13137BA","105","3","7754.89","2015-09-16","2016-04-18","2584.96","中国澳门","1"
"13138BA","218","3","2660.87","2013-11-06","2015-12-27","886.96","中国澳门","1"
"13139BA","3","3","5052.00","2016-01-11","2016-07-29","1684.00","中国澳门","1"
"13140BA","67","2","4577.00","2015-08-07","2016-05-26","2288.50","中国澳门","1"
"13141BA","132","3","5590.77","2013-11-14","2016-03-22","1863.59","中国澳门","1"
"13142BA","86","3","6244.00","2015-12-26","2016-05-07","2081.33","中国澳门","1"
"13143BA","160","3","2877.00","2015-08-25","2016-02-23","959.00","中国澳门","1"
"13144BA","4","3","5263.90","2015-10-19","2016-07-28","1754.63","中国澳门","1"
"13145BA","225","3","2442.87","2013-11-05","2015-12-20","814.29","中国澳门","1"
"13146BA","210","3","7873.90","2015-08-04","2016-01-04","2624.63","中国澳门","1"
"13147BA","87","3","9395.96","2013-11-28","2016-05-06","3131.99","中国澳门","1"
"13148BA","120","2","3547.00","2015-10-12","2016-04-03","1773.50","西南区","1"
"13149BA","170","2","6324.90","2015-12-21","2016-02-13","3162.45","西北区","1"
"13150BA","385","2","183.99","2014-02-06","2015-07-13","92.00","西北区","1"
"13151BA","51","1","3848.00","2016-06-11","2016-06-11","3848.00","西北区","0"
"13152BA","6","5","6313.00","2016-04-20","2016-07-26","1262.60","韩国","1"
"13153BA","295","1","4659.99","2015-10-11","2015-10-11","4659.99","韩国","0"
"13154BA","30","1","2906.00","2016-07-02","2016-07-02","2906.00","西北区","0"
"13155BA","87","3","179.96","2013-11-03","2016-05-06","59.99","中国澳门","1"
"13156BA","286","1","2112.99","2015-10-20","2015-10-20","2112.99","西南区","0"
"13157BA","391","1","1653.98","2015-07-07","2015-07-07","1653.98","韩国","0"
"13158BA","9","2","8435.00","2016-02-01","2016-07-23","4217.50","西北区","1"
"13159BA","29","2","3766.90","2016-03-22","2016-07-03","1883.45","西南区","1"
"13160BA","104","2","1288.00","2016-03-17","2016-04-19","644.00","中国澳门","1"
"13161BA","316","1","2348.00","2015-09-20","2015-09-20","2348.00","西南区","0"
"13162BA","123","2","3986.80","2015-11-17","2016-03-31","1993.40","西南区","1"
"13163BA","16","17","30216.99","2015-08-17","2016-07-16","1777.47","韩国","1"
"13164BA","41","2","9945.00","2015-12-17","2016-06-21","4972.50","西南区","1"
"13165BA","369","1","753.99","2015-07-29","2015-07-29","753.99","西北区","0"
"13166BA","369","1","2112.99","2015-07-29","2015-07-29","2112.99","西北区","0"
"13167BA","136","3","6544.00","2015-08-09","2016-03-18","2181.33","中国澳门","1"
"13168BA","105","3","843.67","2013-11-13","2016-04-18","281.22","中国澳门","1"
"13169BA","57","3","7885.90","2015-09-08","2016-06-05","2628.63","中国澳门","1"
"13170BA","61","3","5686.00","2015-12-06","2016-06-01","1895.33","中国澳门","1"
"13171BA","198","3","4965.70","2015-09-28","2016-01-16","1655.23","中国澳门","1"
"13172BA","101","3","3581.97","2013-11-15","2016-04-22","1193.99","中国澳门","1"
"13173BA","385","1","54.99","2015-07-13","2015-07-13","54.99","西北区","0"
"13174BA","306","1","8145.99","2015-09-30","2015-09-30","8145.99","西北区","0"
"13175BA","384","1","54.99","2015-07-14","2015-07-14","54.99","西北区","0"
"13176BA","388","1","54.99","2015-07-10","2015-07-10","54.99","西南区","0"
"13177BA","386","1","2601.99","2015-07-12","2015-07-12","2601.99","西南区","0"
"13178BA","140","2","5047.00","2016-01-25","2016-03-14","2523.50","西北区","1"
"13179BA","375","1","553.99","2015-07-23","2015-07-23","553.99","西南区","0"
"13180BA","83","2","9945.00","2016-03-11","2016-05-10","4972.50","西南区","1"
"13181BA","342","1","3253.99","2015-08-25","2015-08-25","3253.99","西南区","0"
"13182BA","79","2","5824.90","2015-12-03","2016-05-14","2912.45","西南区","1"
"13183BA","345","1","274.89","2015-08-22","2015-08-22","274.89","西南区","0"
"13184BA","177","2","6746.00","2015-11-02","2016-02-06","3373.00","西南区","1"
"13185BA","177","2","8365.89","2015-10-29","2016-02-06","4182.95","西南区","1"
"13186BA","238","2","3247.99","2015-11-26","2015-12-07","1624.00","西南区","1"
"13187BA","54","2","3806.80","2016-04-16","2016-06-08","1903.40","西北区","1"
"13188BA","62","2","1073.97","2015-07-11","2016-05-31","536.99","西北区","1"
"13189BA","74","2","6090.87","2015-07-19","2016-05-19","3045.44","西南区","1"
"13190BA","127","2","6965.90","2015-11-27","2016-03-27","3482.95","西南区","1"
"13191BA","31","2","5984.90","2016-02-27","2016-07-01","2992.45","西北区","1"
"13192BA","83","3","4008.97","2014-02-20","2016-05-10","1336.32","西南区","1"
"13193BA","18","2","6044.80","2015-11-04","2016-07-14","3022.40","西北区","1"
"13194BA","36","2","3247.99","2015-09-03","2016-06-26","1624.00","西北区","1"
"13195BA","188","2","9945.00","2016-01-14","2016-01-26","4972.50","西南区","1"
"13196BA","87","3","4429.97","2014-02-28","2016-05-06","1476.66","西南区","1"
"13197BA","2","27","62197.90","2015-08-06","2016-07-30","2303.63","韩国","1"
"13198BA","107","2","7265.90","2015-09-30","2016-04-16","3632.95","西南区","1"
"13199BA","248","2","8365.89","2015-08-25","2015-11-27","4182.95","西南区","1"
"13200BA","20","2","4005.80","2015-09-13","2016-07-12","2002.90","西南区","1"
"13201BA","126","2","4026.70","2015-09-18","2016-03-28","2013.35","西南区","1"
"13202BA","202","2","5047.00","2015-11-08","2016-01-12","2523.50","西南区","1"
"13203BA","24","2","6965.90","2016-02-29","2016-07-08","3482.95","西北区","1"
"13204BA","230","2","6746.00","2015-11-01","2015-12-15","3373.00","西南区","1"
"13205BA","112","2","6945.00","2016-02-11","2016-04-11","3472.50","西南区","1"
"13206BA","3","27","66572.78","2015-08-25","2016-07-29","2465.66","韩国","1"
"13207BA","22","2","5047.00","2016-04-20","2016-07-10","2523.50","西南区","1"
"13208BA","176","2","4946.99","2015-10-05","2016-02-07","2473.50","西北区","1"
"13209BA","8","2","6965.90","2016-05-04","2016-07-24","3482.95","西南区","1"
"13210BA","358","2","2770.89","2014-02-26","2015-08-09","1385.45","西北区","1"
"13211BA","13","2","6746.00","2016-02-29","2016-07-19","3373.00","西南区","1"
"13212BA","84","3","2920.97","2014-02-11","2016-05-09","973.66","西南区","1"
"13213BA","126","2","3986.80","2015-12-25","2016-03-28","1993.40","西北区","1"
"13214BA","164","2","5047.00","2015-08-29","2016-02-19","2523.50","西北区","1"
"13215BA","52","2","7005.80","2015-09-14","2016-06-10","3502.90","西南区","1"
"13216BA","99","2","7005.80","2015-10-16","2016-04-24","3502.90","西北区","1"
"13217BA","127","2","5846.00","2015-09-04","2016-03-27","2923.00","西北区","1"
"13218BA","193","2","10134.00","2015-11-03","2016-01-21","5067.00","西北区","1"
"13219BA","350","2","2107.80","2015-08-09","2015-08-17","1053.90","西南区","1"
"13220BA","104","2","8344.99","2015-09-19","2016-04-19","4172.50","西南区","1"
"13221BA","9","27","48646.00","2015-08-11","2016-07-23","1801.70","韩国","1"
"13222BA","142","2","2986.80","2016-01-02","2016-03-12","1493.40","西南区","1"
"13223BA","130","2","2067.90","2016-03-18","2016-03-24","1033.95","西南区","1"
"13224BA","49","17","40684.90","2015-08-24","2016-06-13","2393.23","韩国","1"
"13225BA","80","2","5766.90","2016-02-10","2016-05-13","2883.45","西北区","1"
"13226BA","113","2","3848.00","2016-01-28","2016-04-10","1924.00","西北区","1"
"13227BA","244","2","5766.90","2015-11-12","2015-12-01","2883.45","西北区","1"
"13228BA","103","2","5766.90","2015-08-04","2016-04-20","2883.45","西北区","1"
"13229BA","134","2","8003.00","2015-09-05","2016-03-20","4001.50","西南区","1"
"13230BA","7","2","3848.00","2015-09-26","2016-07-25","1924.00","西南区","1"
"13231BA","145","2","6785.90","2015-11-07","2016-03-09","3392.95","西南区","1"
"13232BA","22","17","27588.30","2015-08-05","2016-07-10","1622.84","韩国","1"
"13233BA","12","15","32679.30","2015-08-03","2016-07-20","2178.62","韩国","1"
"13234BA","142","2","5766.90","2015-09-29","2016-03-12","2883.45","西北区","1"
"13235BA","71","2","5846.00","2016-02-15","2016-05-22","2923.00","西北区","1"
"13236BA","45","16","20460.30","2015-08-19","2016-06-17","1278.77","韩国","1"
"13237BA","358","2","2751.89","2014-02-15","2015-08-09","1375.95","西北区","1"
"13238BA","349","2","382.99","2014-02-10","2015-08-18","191.50","西北区","1"
"13239BA","25","2","7047.00","2015-09-01","2016-07-07","3523.50","西北区","1"
"13240BA","5","2","7047.00","2016-05-01","2016-07-27","3523.50","西北区","1"
"13241BA","47","2","5656.00","2015-09-15","2016-06-15","2828.00","西南区","1"
"13242BA","104","2","6746.00","2015-10-09","2016-04-19","3373.00","西南区","1"
"13243BA","62","2","4084.90","2016-05-04","2016-05-31","2042.45","西南区","1"
"13244BA","23","25","51715.60","2015-08-02","2016-07-09","2068.62","韩国","1"
"13245BA","57","3","693.77","2014-02-07","2016-06-05","231.26","西北区","1"
"13246BA","145","2","5765.00","2015-12-24","2016-03-09","2882.50","西北区","1"
"13247BA","304","2","3848.00","2015-08-25","2015-10-02","1924.00","西北区","1"
"13248BA","353","2","2440.99","2014-02-03","2015-08-14","1220.50","西南区","1"
"13249BA","12","2","5766.90","2016-04-27","2016-07-20","2883.45","西南区","1"
"13250BA","4","2","6965.90","2016-01-28","2016-07-28","3482.95","西南区","1"
"13251BA","51","2","6855.00","2016-01-17","2016-06-11","3427.50","西南区","1"
"13252BA","78","2","5746.00","2015-08-14","2016-05-15","2873.00","西北区","1"
"13253BA","77","2","7047.00","2016-03-23","2016-05-16","3523.50","西北区","1"
"13254BA","235","2","2825.80","2015-08-12","2015-12-10","1412.90","西南区","1"
"13255BA","132","2","5266.90","2015-08-12","2016-03-22","2633.45","西南区","1"
"13256BA","24","2","4026.70","2016-01-05","2016-07-08","2013.35","西北区","1"
"13257BA","23","2","3986.80","2016-04-05","2016-07-09","1993.40","西北区","1"
"13258BA","65","4","1722.87","2014-03-08","2016-05-28","430.72","中国香港","1"
"13259BA","274","4","2062.77","2013-07-09","2015-11-01","515.69","中国台湾","1"
"13260BA","246","4","7180.87","2013-07-22","2015-11-29","1795.22","中国台湾","1"
"13261BA","261","4","5319.67","2013-08-30","2015-11-14","1329.92","中国台湾","1"
"13262BA","92","7","14066.24","2015-03-14","2016-05-01","2009.46","新加坡","1"
"13263BA","56","7","3973.54","2015-03-23","2016-06-06","567.65","新加坡","1"
"13264BA","234","4","4358.76","2013-08-24","2015-12-11","1089.69","中国台湾","1"
"13265BA","194","4","5419.76","2013-08-15","2016-01-20","1354.94","中国台湾","1"
"13266BA","49","4","6159.97","2014-03-29","2016-06-13","1539.99","中国香港","1"
"13267BA","40","4","2531.87","2014-04-05","2016-06-22","632.97","中国香港","1"
"13268BA","165","4","6508.76","2013-08-21","2016-02-18","1627.19","中国台湾","1"
"13269BA","199","1","1397.90","2016-01-15","2016-01-15","1397.90","新加坡","0"
"13270BA","136","4","8658.97","2014-04-11","2016-03-18","2164.74","中国香港","1"
"13271BA","176","4","4190.66","2013-09-17","2016-02-07","1047.67","中国台湾","1"
"13272BA","103","1","2131.99","2016-04-20","2016-04-20","2131.99","韩国","0"
"13273BA","42","3","1829.97","2014-02-14","2016-06-20","609.99","西南区","1"
"13274BA","57","14","26841.30","2015-09-02","2016-06-05","1917.24","韩国","1"
"13275BA","46","2","7463.79","2016-05-26","2016-06-16","3731.90","西北区","1"
"13276BA","304","2","3986.80","2015-08-27","2015-10-02","1993.40","西北区","1"
"13277BA","105","2","6965.90","2015-10-17","2016-04-18","3482.95","西北区","1"
"13278BA","46","3","3712.77","2014-02-24","2016-06-16","1237.59","西南区","1"
"13279BA","198","2","5156.00","2015-11-22","2016-01-16","2578.00","西南区","1"
"13280BA","40","3","772.87","2014-03-07","2016-06-22","257.62","西北区","1"
"13281BA","220","2","6965.90","2015-08-09","2015-12-25","3482.95","西南区","1"
"13282BA","37","3","473.87","2014-03-30","2016-06-25","157.96","西南区","1"
"13283BA","7","27","67487.10","2015-08-31","2016-07-25","2499.52","韩国","1"
"13284BA","50","3","4219.77","2014-03-01","2016-06-12","1406.59","西北区","1"
"13285BA","60","2","2700.97","2015-07-06","2016-06-02","1350.49","西北区","1"
"13286BA","391","1","473.89","2015-07-07","2015-07-07","473.89","西北区","0"
"13287BA","374","2","2260.99","2014-03-13","2015-07-24","1130.50","西北区","1"
"13288BA","387","2","2440.99","2014-03-20","2015-07-11","1220.50","西南区","1"
"13289BA","74","2","5465.90","2015-11-30","2016-05-19","2732.95","西南区","1"
"13290BA","141","2","5547.00","2016-02-23","2016-03-13","2773.50","西南区","1"
"13291BA","387","2","902.89","2014-03-13","2015-07-11","451.45","西南区","1"
"13292BA","372","2","2751.89","2014-03-30","2015-07-26","1375.95","西南区","1"
"13293BA","381","2","581.99","2014-03-22","2015-07-17","291.00","西南区","1"
"13294BA","251","2","8212.90","2015-11-15","2015-11-24","4106.45","西南区","1"
"13295BA","339","2","2241.99","2014-03-01","2015-08-28","1121.00","西北区","1"
"13296BA","382","2","602.89","2014-03-02","2015-07-16","301.45","西南区","1"
"13297BA","7","25","61340.10","2015-08-02","2016-07-25","2453.60","韩国","1"
"13298BA","13","25","60285.89","2015-08-06","2016-07-19","2411.44","韩国","1"
"13299BA","391","2","403.89","2014-03-19","2015-07-07","201.95","西北区","1"
"13300BA","221","2","8746.00","2015-09-04","2015-12-24","4373.00","西北区","1"
"13301BA","174","2","5766.90","2016-01-02","2016-02-09","2883.45","西北区","1"
"13302BA","383","2","2350.99","2014-03-16","2015-07-15","1175.50","西南区","1"
"13303BA","392","2","4130.98","2014-03-03","2015-07-06","2065.49","西北区","1"
"13304BA","154","2","8746.00","2015-11-30","2016-02-29","4373.00","西南区","1"
"13305BA","272","2","7265.00","2015-08-10","2015-11-03","3632.50","西南区","1"
"13306BA","95","2","7145.99","2016-01-28","2016-04-28","3573.00","西南区","1"
"13307BA","374","2","901.99","2014-03-24","2015-07-24","451.00","西南区","1"
"13308BA","1","27","63357.10","2015-08-02","2016-07-31","2346.56","韩国","1"
"13309BA","161","2","5766.90","2015-09-06","2016-02-22","2883.45","西南区","1"
"13310BA","378","2","3690.99","2014-03-11","2015-07-20","1845.50","西南区","1"
"13311BA","367","2","403.89","2014-03-23","2015-07-31","201.95","西南区","1"
"13312BA","375","2","183.99","2014-03-07","2015-07-23","92.00","西南区","1"
"13313BA","394","2","2440.99","2014-03-18","2015-07-04","1220.50","西南区","1"
"13314BA","320","2","5875.90","2015-08-28","2015-09-16","2937.95","西北区","1"
"13315BA","26","2","5547.00","2016-03-28","2016-07-06","2773.50","西北区","1"
"13316BA","385","2","2830.99","2014-03-28","2015-07-13","1415.50","西南区","1"
"13317BA","365","2","3581.99","2014-03-04","2015-08-02","1791.00","西北区","1"
"13318BA","343","2","2751.89","2014-03-29","2015-08-24","1375.95","西南区","1"
"13319BA","342","2","2260.99","2014-03-15","2015-08-25","1130.50","西南区","1"
"13320BA","339","2","681.99","2014-03-29","2015-08-28","341.00","西南区","1"
"13321BA","29","23","65483.19","2015-08-04","2016-07-03","2847.10","韩国","1"
"13322BA","110","2","6066.90","2015-12-11","2016-04-13","3033.45","西北区","1"
"13323BA","361","2","1140.99","2014-03-09","2015-08-06","570.50","西北区","1"
"13324BA","340","2","3382.99","2014-03-05","2015-08-27","1691.50","西北区","1"
"13325BA","282","2","4355.00","2015-09-21","2015-10-24","2177.50","西北区","1"
"13326BA","178","2","5766.90","2015-09-26","2016-02-05","2883.45","西南区","1"
"13327BA","144","2","5547.00","2016-01-01","2016-03-10","2773.50","西南区","1"
"13328BA","355","2","642.79","2014-03-07","2015-08-12","321.40","西南区","1"
"13329BA","14","2","4266.90","2016-03-10","2016-07-18","2133.45","西北区","1"
"13330BA","24","2","5547.00","2016-01-10","2016-07-08","2773.50","西北区","1"
"13331BA","36","2","5766.90","2016-02-13","2016-06-26","2883.45","西南区","1"
"13332BA","138","2","5766.90","2015-10-20","2016-03-16","2883.45","西北区","1"
"13333BA","241","2","5547.00","2015-11-18","2015-12-04","2773.50","西北区","1"
"13334BA","64","2","8746.00","2015-11-08","2016-05-29","4373.00","西北区","1"
"13335BA","57","2","7156.00","2015-08-29","2016-06-05","3578.00","西北区","1"
"13336BA","43","2","5547.00","2015-11-21","2016-06-19","2773.50","西北区","1"
"13337BA","382","1","253.99","2015-07-16","2015-07-16","253.99","韩国","0"
"13338BA","345","2","183.99","2014-03-04","2015-08-22","92.00","西北区","1"
"13339BA","82","2","8746.00","2016-04-19","2016-05-11","4373.00","西北区","1"
"13340BA","339","2","602.89","2014-03-12","2015-08-28","301.45","西南区","1"
"13341BA","163","2","5855.00","2015-12-17","2016-02-20","2927.50","西南区","1"
"13342BA","246","2","3848.00","2015-08-27","2015-11-29","1924.00","西北区","1"
"13343BA","253","2","8746.00","2015-09-25","2015-11-22","4373.00","西北区","1"
"13344BA","364","2","5919.99","2014-03-13","2015-08-03","2960.00","西南区","1"
"13345BA","358","2","882.99","2014-03-29","2015-08-09","441.50","西南区","1"
"13346BA","363","2","2939.99","2014-03-22","2015-08-04","1470.00","西北区","1"
"13347BA","343","2","2751.89","2014-03-18","2015-08-24","1375.95","西南区","1"
"13348BA","362","2","5730.99","2014-03-29","2015-08-05","2865.50","西南区","1"
"13349BA","297","2","1462.98","2015-07-09","2015-10-09","731.49","韩国","1"
"13350BA","353","2","183.99","2014-03-28","2015-08-14","92.00","西南区","1"
"13351BA","7","25","55493.90","2015-08-16","2016-07-25","2219.76","韩国","1"
"13352BA","5","26","64968.40","2015-08-11","2016-07-27","2498.78","韩国","1"
"13353BA","388","2","334.88","2014-04-17","2015-07-10","167.44","中国香港","1"
"13354BA","199","3","3782.87","2013-09-21","2016-01-15","1260.96","中国台湾","1"
"13355BA","186","3","2442.87","2013-09-04","2016-01-28","814.29","中国台湾","1"
"13356BA","390","2","3512.98","2014-04-25","2015-07-08","1756.49","中国香港","1"
"13357BA","389","2","2387.88","2015-03-31","2015-07-09","1193.94","新加坡","1"
