customer_id,recency_days,frequency,monetary,cluster,cluster_name
13068BA,71,3,483.96,0,沉睡客户
13069BA,35,3,2670.96,0,沉睡客户
13070BA,92,2,6965.9,0,沉睡客户
13071BA,71,3,1998.85,0,沉睡客户
13072BA,28,2,3206.9,0,沉睡客户
13073BA,247,3,5931.87,0,沉睡客户
13074BA,377,1,274.89,0,沉睡客户
13075BA,244,3,883.87,0,沉睡客户
13076BA,236,3,4090.87,0,沉睡客户
13077BA,243,3,2782.77,0,沉睡客户
13078BA,253,3,204.87,0,沉睡客户
13079BA,239,3,883.87,0,沉睡客户
13080BA,319,3,4504.0,0,沉睡客户
13081BA,218,3,1742.87,0,沉睡客户
13082BA,229,3,2442.87,0,沉睡客户
13083BA,387,1,473.89,0,沉睡客户
13084BA,382,1,2431.99,0,沉睡客户
13085BA,369,1,2053.99,0,沉睡客户
13086BA,19,2,8435.0,0,沉睡客户
13087BA,132,2,6965.9,0,沉睡客户
13088BA,17,2,7005.8,0,沉睡客户
13089BA,113,3,6231.9,0,沉睡客户
13090BA,239,3,164.97,0,沉睡客户
13091BA,217,3,11638.97,0,沉睡客户
13092BA,59,3,7684.0,0,沉睡客户
13093BA,228,3,2021.97,0,沉睡客户
13094BA,161,3,6642.8,0,沉睡客户
13095BA,247,3,7653.9,0,沉睡客户
13096BA,219,3,1522.97,0,沉睡客户
13097BA,222,3,363.97,0,沉睡客户
13098BA,231,3,583.87,0,沉睡客户
13099BA,1,16,25018.5,1,高价值活跃
13100BA,28,3,4145.0,0,沉睡客户
13101BA,220,3,3232.87,0,沉睡客户
13102BA,291,2,5366.0,0,沉睡客户
13103BA,84,2,2171.87,0,沉睡客户
13104BA,82,2,2692.87,0,沉睡客户
13105BA,69,2,4681.97,0,沉睡客户
13106BA,21,2,4266.9,0,沉睡客户
13107BA,39,2,4306.8,0,沉睡客户
13108BA,173,2,5236.0,0,沉睡客户
13109BA,78,2,2021.87,0,沉睡客户
13110BA,72,2,1303.67,0,沉睡客户
13111BA,69,3,511.87,0,沉睡客户
13112BA,21,28,67336.2,1,高价值活跃
13113BA,222,3,1662.97,0,沉睡客户
13114BA,235,3,843.67,0,沉睡客户
13115BA,18,3,5253.0,0,沉睡客户
13116BA,218,3,2742.87,0,沉睡客户
13117BA,183,3,183.97,0,沉睡客户
13118BA,189,3,2383.87,0,沉睡客户
13119BA,105,3,2827.0,0,沉睡客户
13120BA,212,3,4180.97,0,沉睡客户
13121BA,175,3,1761.87,0,沉睡客户
13122BA,214,3,1861.87,0,沉睡客户
13123BA,51,3,3135.0,0,沉睡客户
13124BA,237,3,2782.77,0,沉睡客户
13125BA,228,3,2812.97,0,沉睡客户
13126BA,238,3,1572.97,0,沉睡客户
13127BA,228,3,164.97,0,沉睡客户
13128BA,222,3,803.77,0,沉睡客户
13129BA,220,3,1033.87,0,沉睡客户
13130BA,219,3,3029.97,0,沉睡客户
13131BA,162,3,1522.97,0,沉睡客户
13132BA,160,3,4860.97,0,沉睡客户
13133BA,149,3,772.87,0,沉睡客户
13134BA,283,3,5053.9,0,沉睡客户
13135BA,34,3,5074.8,0,沉睡客户
13136BA,27,3,7534.99,0,沉睡客户
13137BA,105,3,7754.89,0,沉睡客户
13138BA,218,3,2660.87,0,沉睡客户
13139BA,3,3,5052.0,0,沉睡客户
13140BA,67,2,4577.0,0,沉睡客户
13141BA,132,3,5590.77,0,沉睡客户
13142BA,86,3,6244.0,0,沉睡客户
13143BA,160,3,2877.0,0,沉睡客户
13144BA,4,3,5263.9,0,沉睡客户
13145BA,225,3,2442.87,0,沉睡客户
13146BA,210,3,7873.9,0,沉睡客户
13147BA,87,3,9395.96,0,沉睡客户
13148BA,120,2,3547.0,0,沉睡客户
13149BA,170,2,6324.9,0,沉睡客户
13150BA,385,2,183.99,0,沉睡客户
13151BA,51,1,3848.0,0,沉睡客户
13152BA,6,5,6313.0,0,沉睡客户
13153BA,295,1,4659.99,0,沉睡客户
13154BA,30,1,2906.0,0,沉睡客户
13155BA,87,3,179.96,0,沉睡客户
13156BA,286,1,2112.99,0,沉睡客户
13157BA,391,1,1653.98,0,沉睡客户
13158BA,9,2,8435.0,0,沉睡客户
13159BA,29,2,3766.9,0,沉睡客户
13160BA,104,2,1288.0,0,沉睡客户
13161BA,316,1,2348.0,0,沉睡客户
13162BA,123,2,3986.8,0,沉睡客户
13163BA,16,17,30216.99,1,高价值活跃
13164BA,41,2,9945.0,0,沉睡客户
13165BA,369,1,753.99,0,沉睡客户
13166BA,369,1,2112.99,0,沉睡客户
13167BA,136,3,6544.0,0,沉睡客户
13168BA,105,3,843.67,0,沉睡客户
13169BA,57,3,7885.9,0,沉睡客户
13170BA,61,3,5686.0,0,沉睡客户
13171BA,198,3,4965.7,0,沉睡客户
13172BA,101,3,3581.97,0,沉睡客户
13173BA,385,1,54.99,0,沉睡客户
13174BA,306,1,8145.99,0,沉睡客户
13175BA,384,1,54.99,0,沉睡客户
13176BA,388,1,54.99,0,沉睡客户
13177BA,386,1,2601.99,0,沉睡客户
13178BA,140,2,5047.0,0,沉睡客户
13179BA,375,1,553.99,0,沉睡客户
13180BA,83,2,9945.0,0,沉睡客户
13181BA,342,1,3253.99,0,沉睡客户
13182BA,79,2,5824.9,0,沉睡客户
13183BA,345,1,274.89,0,沉睡客户
13184BA,177,2,6746.0,0,沉睡客户
13185BA,177,2,8365.89,0,沉睡客户
13186BA,238,2,3247.99,0,沉睡客户
13187BA,54,2,3806.8,0,沉睡客户
13188BA,62,2,1073.97,0,沉睡客户
13189BA,74,2,6090.87,0,沉睡客户
13190BA,127,2,6965.9,0,沉睡客户
13191BA,31,2,5984.9,0,沉睡客户
13192BA,83,3,4008.97,0,沉睡客户
13193BA,18,2,6044.8,0,沉睡客户
13194BA,36,2,3247.99,0,沉睡客户
13195BA,188,2,9945.0,0,沉睡客户
13196BA,87,3,4429.97,0,沉睡客户
13197BA,2,27,62197.9,1,高价值活跃
13198BA,107,2,7265.9,0,沉睡客户
13199BA,248,2,8365.89,0,沉睡客户
13200BA,20,2,4005.8,0,沉睡客户
13201BA,126,2,4026.7,0,沉睡客户
13202BA,202,2,5047.0,0,沉睡客户
13203BA,24,2,6965.9,0,沉睡客户
13204BA,230,2,6746.0,0,沉睡客户
13205BA,112,2,6945.0,0,沉睡客户
13206BA,3,27,66572.78,1,高价值活跃
13207BA,22,2,5047.0,0,沉睡客户
13208BA,176,2,4946.99,0,沉睡客户
13209BA,8,2,6965.9,0,沉睡客户
13210BA,358,2,2770.89,0,沉睡客户
13211BA,13,2,6746.0,0,沉睡客户
13212BA,84,3,2920.97,0,沉睡客户
13213BA,126,2,3986.8,0,沉睡客户
13214BA,164,2,5047.0,0,沉睡客户
13215BA,52,2,7005.8,0,沉睡客户
13216BA,99,2,7005.8,0,沉睡客户
13217BA,127,2,5846.0,0,沉睡客户
13218BA,193,2,10134.0,0,沉睡客户
13219BA,350,2,2107.8,0,沉睡客户
13220BA,104,2,8344.99,0,沉睡客户
13221BA,9,27,48646.0,1,高价值活跃
13222BA,142,2,2986.8,0,沉睡客户
13223BA,130,2,2067.9,0,沉睡客户
13224BA,49,17,40684.9,1,高价值活跃
13225BA,80,2,5766.9,0,沉睡客户
13226BA,113,2,3848.0,0,沉睡客户
13227BA,244,2,5766.9,0,沉睡客户
13228BA,103,2,5766.9,0,沉睡客户
13229BA,134,2,8003.0,0,沉睡客户
13230BA,7,2,3848.0,0,沉睡客户
13231BA,145,2,6785.9,0,沉睡客户
13232BA,22,17,27588.3,1,高价值活跃
13233BA,12,15,32679.3,1,高价值活跃
13234BA,142,2,5766.9,0,沉睡客户
13235BA,71,2,5846.0,0,沉睡客户
13236BA,45,16,20460.3,1,高价值活跃
13237BA,358,2,2751.89,0,沉睡客户
13238BA,349,2,382.99,0,沉睡客户
13239BA,25,2,7047.0,0,沉睡客户
13240BA,5,2,7047.0,0,沉睡客户
13241BA,47,2,5656.0,0,沉睡客户
13242BA,104,2,6746.0,0,沉睡客户
13243BA,62,2,4084.9,0,沉睡客户
13244BA,23,25,51715.6,1,高价值活跃
13245BA,57,3,693.77,0,沉睡客户
13246BA,145,2,5765.0,0,沉睡客户
13247BA,304,2,3848.0,0,沉睡客户
13248BA,353,2,2440.99,0,沉睡客户
13249BA,12,2,5766.9,0,沉睡客户
13250BA,4,2,6965.9,0,沉睡客户
13251BA,51,2,6855.0,0,沉睡客户
13252BA,78,2,5746.0,0,沉睡客户
13253BA,77,2,7047.0,0,沉睡客户
13254BA,235,2,2825.8,0,沉睡客户
13255BA,132,2,5266.9,0,沉睡客户
13256BA,24,2,4026.7,0,沉睡客户
13257BA,23,2,3986.8,0,沉睡客户
13258BA,65,4,1722.87,0,沉睡客户
13259BA,274,4,2062.77,0,沉睡客户
13260BA,246,4,7180.87,0,沉睡客户
13261BA,261,4,5319.67,0,沉睡客户
13262BA,92,7,14066.24,0,沉睡客户
13263BA,56,7,3973.54,0,沉睡客户
13264BA,234,4,4358.76,0,沉睡客户
13265BA,194,4,5419.76,0,沉睡客户
13266BA,49,4,6159.97,0,沉睡客户
13267BA,40,4,2531.87,0,沉睡客户
13268BA,165,4,6508.76,0,沉睡客户
13269BA,199,1,1397.9,0,沉睡客户
13270BA,136,4,8658.97,0,沉睡客户
13271BA,176,4,4190.66,0,沉睡客户
13272BA,103,1,2131.99,0,沉睡客户
13273BA,42,3,1829.97,0,沉睡客户
13274BA,57,14,26841.3,1,高价值活跃
13275BA,46,2,7463.79,0,沉睡客户
13276BA,304,2,3986.8,0,沉睡客户
13277BA,105,2,6965.9,0,沉睡客户
13278BA,46,3,3712.77,0,沉睡客户
13279BA,198,2,5156.0,0,沉睡客户
13280BA,40,3,772.87,0,沉睡客户
13281BA,220,2,6965.9,0,沉睡客户
13282BA,37,3,473.87,0,沉睡客户
13283BA,7,27,67487.1,1,高价值活跃
13284BA,50,3,4219.77,0,沉睡客户
13285BA,60,2,2700.97,0,沉睡客户
13286BA,391,1,473.89,0,沉睡客户
13287BA,374,2,2260.99,0,沉睡客户
13288BA,387,2,2440.99,0,沉睡客户
13289BA,74,2,5465.9,0,沉睡客户
13290BA,141,2,5547.0,0,沉睡客户
13291BA,387,2,902.89,0,沉睡客户
13292BA,372,2,2751.89,0,沉睡客户
13293BA,381,2,581.99,0,沉睡客户
13294BA,251,2,8212.9,0,沉睡客户
13295BA,339,2,2241.99,0,沉睡客户
13296BA,382,2,602.89,0,沉睡客户
13297BA,7,25,61340.1,1,高价值活跃
13298BA,13,25,60285.89,1,高价值活跃
13299BA,391,2,403.89,0,沉睡客户
13300BA,221,2,8746.0,0,沉睡客户
13301BA,174,2,5766.9,0,沉睡客户
13302BA,383,2,2350.99,0,沉睡客户
13303BA,392,2,4130.98,0,沉睡客户
13304BA,154,2,8746.0,0,沉睡客户
13305BA,272,2,7265.0,0,沉睡客户
13306BA,95,2,7145.99,0,沉睡客户
13307BA,374,2,901.99,0,沉睡客户
13308BA,1,27,63357.1,1,高价值活跃
13309BA,161,2,5766.9,0,沉睡客户
13310BA,378,2,3690.99,0,沉睡客户
13311BA,367,2,403.89,0,沉睡客户
13312BA,375,2,183.99,0,沉睡客户
13313BA,394,2,2440.99,0,沉睡客户
13314BA,320,2,5875.9,0,沉睡客户
13315BA,26,2,5547.0,0,沉睡客户
13316BA,385,2,2830.99,0,沉睡客户
13317BA,365,2,3581.99,0,沉睡客户
13318BA,343,2,2751.89,0,沉睡客户
13319BA,342,2,2260.99,0,沉睡客户
13320BA,339,2,681.99,0,沉睡客户
13321BA,29,23,65483.19,1,高价值活跃
13322BA,110,2,6066.9,0,沉睡客户
13323BA,361,2,1140.99,0,沉睡客户
13324BA,340,2,3382.99,0,沉睡客户
13325BA,282,2,4355.0,0,沉睡客户
13326BA,178,2,5766.9,0,沉睡客户
13327BA,144,2,5547.0,0,沉睡客户
13328BA,355,2,642.79,0,沉睡客户
13329BA,14,2,4266.9,0,沉睡客户
13330BA,24,2,5547.0,0,沉睡客户
13331BA,36,2,5766.9,0,沉睡客户
13332BA,138,2,5766.9,0,沉睡客户
13333BA,241,2,5547.0,0,沉睡客户
13334BA,64,2,8746.0,0,沉睡客户
13335BA,57,2,7156.0,0,沉睡客户
13336BA,43,2,5547.0,0,沉睡客户
13337BA,382,1,253.99,0,沉睡客户
13338BA,345,2,183.99,0,沉睡客户
13339BA,82,2,8746.0,0,沉睡客户
13340BA,339,2,602.89,0,沉睡客户
13341BA,163,2,5855.0,0,沉睡客户
13342BA,246,2,3848.0,0,沉睡客户
13343BA,253,2,8746.0,0,沉睡客户
13344BA,364,2,5919.99,0,沉睡客户
13345BA,358,2,882.99,0,沉睡客户
13346BA,363,2,2939.99,0,沉睡客户
13347BA,343,2,2751.89,0,沉睡客户
13348BA,362,2,5730.99,0,沉睡客户
13349BA,297,2,1462.98,0,沉睡客户
13350BA,353,2,183.99,0,沉睡客户
13351BA,7,25,55493.9,1,高价值活跃
13352BA,5,26,64968.4,1,高价值活跃
13353BA,388,2,334.88,0,沉睡客户
13354BA,199,3,3782.87,0,沉睡客户
13355BA,186,3,2442.87,0,沉睡客户
13356BA,390,2,3512.98,0,沉睡客户
13357BA,389,2,2387.88,0,沉睡客户
13358BA,194,3,3880.97,0,沉睡客户
13359BA,395,2,2392.88,0,沉睡客户
13360BA,369,2,329.88,0,沉睡客户
13361BA,392,2,2467.98,0,沉睡客户
13362BA,194,3,3242.77,0,沉睡客户
13363BA,201,1,1577.9,0,沉睡客户
13364BA,189,3,2481.77,0,沉睡客户
13365BA,190,3,4761.87,0,沉睡客户
13366BA,394,2,758.98,0,沉睡客户
13367BA,352,2,3217.78,0,沉睡客户
13368BA,319,1,1358.0,0,沉睡客户
13369BA,304,1,1658.0,0,沉睡客户
13370BA,16,1,1658.0,0,沉睡客户
13371BA,358,1,1397.9,0,沉睡客户
13372BA,154,3,1522.97,0,沉睡客户
13373BA,273,1,1358.0,0,沉睡客户
13374BA,174,3,2262.87,0,沉睡客户
13375BA,57,1,1377.0,0,沉睡客户
13376BA,125,1,1358.0,0,沉睡客户
13377BA,90,3,3232.85,0,沉睡客户
13378BA,92,3,598.86,0,沉睡客户
13379BA,76,3,1830.96,0,沉睡客户
13380BA,56,3,5155.86,0,沉睡客户
13381BA,38,3,493.86,0,沉睡客户
13382BA,66,2,3187.9,0,沉睡客户
13383BA,127,2,4468.0,0,沉睡客户
13384BA,42,3,554.96,0,沉睡客户
13385BA,34,3,399.86,0,沉睡客户
13386BA,38,3,1912.96,0,沉睡客户
13387BA,167,2,4468.0,0,沉睡客户
13388BA,65,2,4507.9,0,沉睡客户
13389BA,59,3,7535.86,0,沉睡客户
13390BA,33,2,1507.9,0,沉睡客户
13391BA,120,2,2968.0,0,沉睡客户
13392BA,32,2,1269.0,0,沉睡客户
13393BA,46,3,1553.96,0,沉睡客户
13394BA,155,1,1397.9,0,沉睡客户
13395BA,289,1,2838.9,0,沉睡客户
13396BA,104,1,1358.0,0,沉睡客户
13397BA,106,1,339.9,0,沉睡客户
13398BA,335,1,3119.0,0,沉睡客户
13399BA,349,2,2328.88,0,沉睡客户
13400BA,337,2,528.88,0,沉睡客户
13401BA,360,2,2580.98,0,沉睡客户
13402BA,164,3,583.87,0,沉睡客户
13403BA,347,2,109.98,0,沉睡客户
13404BA,28,1,1577.9,0,沉睡客户
13405BA,180,1,1577.9,0,沉睡客户
13406BA,207,1,1358.0,0,沉睡客户
13407BA,88,1,2838.9,0,沉睡客户
13408BA,303,3,1754.87,0,沉睡客户
13409BA,278,3,2643.97,0,沉睡客户
13410BA,73,1,2838.9,0,沉睡客户
13411BA,83,1,1577.9,0,沉睡客户
13412BA,95,1,2619.0,0,沉睡客户
13413BA,306,1,2199.0,0,沉睡客户
13414BA,197,1,1358.0,0,沉睡客户
13415BA,180,3,2551.87,0,沉睡客户
13416BA,343,2,2113.98,0,沉睡客户
13417BA,95,1,2199.0,0,沉睡客户
13418BA,206,1,1397.9,0,沉睡客户
13419BA,180,3,384.87,0,沉睡客户
13420BA,291,1,1358.0,0,沉睡客户
13421BA,194,3,2772.97,0,沉睡客户
13422BA,327,3,637.78,0,沉睡客户
13423BA,302,3,4032.88,0,沉睡客户
13424BA,246,3,5994.98,0,沉睡客户
13425BA,353,1,2619.0,0,沉睡客户
13426BA,304,1,300.0,0,沉睡客户
13427BA,354,2,2385.98,0,沉睡客户
13428BA,220,1,300.0,0,沉睡客户
13429BA,330,1,1458.0,0,沉睡客户
13430BA,366,2,2677.88,0,沉睡客户
13431BA,359,2,1478.88,0,沉睡客户
13432BA,178,1,1397.9,0,沉睡客户
13433BA,110,4,2998.77,0,沉睡客户
13434BA,146,4,5009.95,0,沉睡客户
13435BA,136,4,1901.76,0,沉睡客户
13436BA,166,1,1358.0,0,沉睡客户
13437BA,269,3,1697.88,0,沉睡客户
13438BA,45,7,6189.44,0,沉睡客户
13439BA,43,1,639.9,0,沉睡客户
13440BA,216,2,5205.9,0,沉睡客户
13441BA,61,7,5431.34,0,沉睡客户
13442BA,112,4,263.97,0,沉睡客户
13443BA,87,4,4198.86,0,沉睡客户
13444BA,101,4,2819.87,0,沉睡客户
13445BA,283,1,238.9,0,沉睡客户
13446BA,39,6,6030.56,0,沉睡客户
13447BA,295,1,219.9,0,沉睡客户
13448BA,101,4,3341.77,0,沉睡客户
13449BA,99,4,8678.87,0,沉睡客户
13450BA,36,6,6690.46,0,沉睡客户
13451BA,316,1,719.9,0,沉睡客户
13452BA,121,4,4068.77,0,沉睡客户
13453BA,35,6,7633.46,0,沉睡客户
13454BA,137,5,5406.85,0,沉睡客户
13455BA,198,2,1817.9,0,沉睡客户
13456BA,25,1,219.9,0,沉睡客户
13457BA,224,2,4938.0,0,沉睡客户
13458BA,41,1,300.0,0,沉睡客户
13459BA,358,1,219.9,0,沉睡客户
13460BA,101,6,4614.54,0,沉睡客户
13461BA,308,1,339.9,0,沉睡客户
13462BA,21,1,238.9,0,沉睡客户
13463BA,122,1,219.9,0,沉睡客户
13464BA,120,3,1752.77,0,沉睡客户
13465BA,241,3,583.87,0,沉睡客户
13466BA,215,3,3462.97,0,沉睡客户
13467BA,222,3,923.77,0,沉睡客户
13468BA,243,3,2241.97,0,沉睡客户
13469BA,222,3,2541.97,0,沉睡客户
13470BA,219,3,5730.97,0,沉睡客户
13471BA,226,3,6080.77,0,沉睡客户
13472BA,238,3,4261.76,0,沉睡客户
13473BA,231,3,482.97,0,沉睡客户
13474BA,224,3,692.87,0,沉睡客户
13475BA,225,3,384.87,0,沉睡客户
13476BA,243,3,483.97,0,沉睡客户
13477BA,243,3,4259.67,0,沉睡客户
13478BA,242,3,4420.87,0,沉睡客户
13479BA,11,3,4873.9,0,沉睡客户
13480BA,225,3,3583.87,0,沉睡客户
13481BA,233,3,2823.87,0,沉睡客户
13482BA,192,3,384.87,0,沉睡客户
13483BA,188,3,3583.87,0,沉睡客户
13484BA,47,3,2936.0,0,沉睡客户
13485BA,212,3,2482.77,0,沉睡客户
13486BA,200,3,464.97,0,沉睡客户
13487BA,161,3,8053.9,0,沉睡客户
13488BA,27,3,3045.0,0,沉睡客户
13489BA,161,3,676.97,0,沉睡客户
13490BA,173,1,1439.0,0,沉睡客户
13491BA,342,2,109.98,0,沉睡客户
13492BA,257,1,300.0,0,沉睡客户
13493BA,95,3,3623.77,0,沉睡客户
13494BA,241,1,319.0,0,沉睡客户
13495BA,125,1,1478.9,0,沉睡客户
13496BA,281,1,1677.9,0,沉睡客户
13497BA,89,1,300.0,0,沉睡客户
13498BA,126,1,219.9,0,沉睡客户
13499BA,285,1,300.0,0,沉睡客户
13500BA,250,3,7192.98,0,沉睡客户
13501BA,188,3,3594.98,0,沉睡客户
13502BA,283,3,1735.98,0,沉睡客户
13503BA,141,3,2583.87,0,沉睡客户
13504BA,194,3,398.88,0,沉睡客户
13505BA,305,3,2346.88,0,沉睡客户
13506BA,139,3,3854.86,0,沉睡客户
13507BA,66,1,219.9,0,沉睡客户
13508BA,45,1,300.0,0,沉睡客户
13509BA,152,3,3382.97,0,沉睡客户
13510BA,123,3,2281.87,0,沉睡客户
13511BA,300,1,300.0,0,沉睡客户
13512BA,144,3,5002.87,0,沉睡客户
13513BA,344,2,329.88,0,沉睡客户
13514BA,139,3,1754.87,0,沉睡客户
13515BA,121,3,2595.87,0,沉睡客户
13516BA,95,1,1358.0,0,沉睡客户
13517BA,85,3,2914.87,0,沉睡客户
13518BA,86,1,219.9,0,沉睡客户
13519BA,20,16,27115.6,1,高价值活跃
13520BA,214,2,6154.0,0,沉睡客户
13521BA,19,16,22648.5,1,高价值活跃
13522BA,7,15,24687.19,1,高价值活跃
13523BA,2,16,26494.0,1,高价值活跃
13524BA,52,2,3887.9,0,沉睡客户
13525BA,271,2,8746.0,0,沉睡客户
13526BA,36,16,31236.5,1,高价值活跃
13527BA,7,15,21946.2,1,高价值活跃
13528BA,9,16,24728.4,1,高价值活跃
13529BA,260,2,5766.9,0,沉睡客户
13530BA,184,1,4037.0,0,沉睡客户
13531BA,34,5,12730.5,0,沉睡客户
13532BA,322,1,649.0,0,沉睡客户
13533BA,32,1,54.99,0,沉睡客户
13534BA,235,1,4007.79,0,沉睡客户
13535BA,219,1,2348.0,0,沉睡客户
13536BA,284,2,602.89,0,沉睡客户
13537BA,227,2,5730.99,0,沉睡客户
13538BA,159,2,5806.8,0,沉睡客户
13539BA,79,2,6214.0,0,沉睡客户
13540BA,18,14,33595.4,1,高价值活跃
13541BA,10,15,21391.28,1,高价值活跃
13542BA,83,2,8746.0,0,沉睡客户
13543BA,362,2,2241.99,0,沉睡客户
13544BA,348,1,473.89,0,沉睡客户
13545BA,104,2,5547.0,0,沉睡客户
13546BA,341,2,4031.99,0,沉睡客户
13547BA,360,1,473.89,0,沉睡客户
13548BA,89,2,7047.0,0,沉睡客户
13549BA,344,2,2480.89,0,沉睡客户
13550BA,359,2,2459.99,0,沉睡客户
13551BA,30,16,18411.5,1,高价值活跃
13552BA,355,2,3382.99,0,沉睡客户
13553BA,33,2,8746.0,0,沉睡客户
13554BA,19,2,3848.0,0,沉睡客户
13555BA,349,2,422.89,0,沉睡客户
13556BA,320,2,2480.89,0,沉睡客户
13557BA,314,2,5730.99,0,沉睡客户
13558BA,311,2,183.99,0,沉睡客户
13559BA,334,2,382.99,0,沉睡客户
13560BA,310,2,2791.79,0,沉睡客户
13561BA,314,2,690.99,0,沉睡客户
13562BA,291,2,2751.89,0,沉睡客户
13563BA,263,1,1478.9,0,沉睡客户
13564BA,39,1,300.0,0,沉睡客户
13565BA,154,1,519.9,0,沉睡客户
13566BA,200,1,300.0,0,沉睡客户
13567BA,323,2,2467.98,0,沉睡客户
13568BA,185,3,618.78,0,沉睡客户
13569BA,79,3,2514.67,0,沉睡客户
13570BA,48,3,4312.87,0,沉睡客户
13571BA,319,3,698.86,0,沉睡客户
13572BA,334,1,300.0,0,沉睡客户
13573BA,23,1,219.9,0,沉睡客户
13574BA,160,1,240.0,0,沉睡客户
13575BA,266,1,219.9,0,沉睡客户
13576BA,266,1,219.9,0,沉睡客户
13577BA,39,1,240.0,0,沉睡客户
13578BA,174,1,240.0,0,沉睡客户
13579BA,60,1,240.0,0,沉睡客户
13580BA,61,1,219.9,0,沉睡客户
13581BA,57,1,300.0,0,沉睡客户
13582BA,324,2,109.98,0,沉睡客户
13583BA,217,1,719.9,0,沉睡客户
13584BA,208,1,300.0,0,沉睡客户
13585BA,317,2,109.98,0,沉睡客户
13586BA,143,1,219.9,0,沉睡客户
13587BA,22,24,59102.2,1,高价值活跃
13588BA,320,1,300.0,0,沉睡客户
13589BA,131,3,1517.97,0,沉睡客户
13590BA,70,1,219.9,0,沉睡客户
13591BA,321,2,109.98,0,沉睡客户
13592BA,315,2,3507.98,0,沉睡客户
13593BA,327,2,2406.88,0,沉睡客户
13594BA,186,1,219.9,0,沉睡客户
13595BA,320,1,219.9,0,沉睡客户
13596BA,135,3,3017.87,0,沉睡客户
13597BA,312,2,408.98,0,沉睡客户
13598BA,323,2,109.98,0,沉睡客户
13599BA,323,2,2167.98,0,沉睡客户
13600BA,182,1,238.9,0,沉睡客户
13601BA,288,1,219.9,0,沉睡客户
13602BA,68,5,10412.8,0,沉睡客户
13603BA,312,2,329.88,0,沉睡客户
13604BA,296,2,2167.98,0,沉睡客户
13605BA,135,1,19.0,0,沉睡客户
13606BA,19,1,500.0,0,沉睡客户
13607BA,93,1,19.0,0,沉睡客户
13608BA,295,2,4146.98,0,沉睡客户
13609BA,262,2,109.98,0,沉睡客户
13610BA,239,1,2058.0,0,沉睡客户
13611BA,251,2,2167.98,0,沉睡客户
13612BA,251,2,382.99,0,沉睡客户
13613BA,262,2,3382.99,0,沉睡客户
13614BA,224,2,2182.99,0,沉睡客户
13615BA,165,1,519.9,0,沉睡客户
13616BA,30,1,219.9,0,沉睡客户
13617BA,120,1,2277.9,0,沉睡客户
13618BA,24,1,219.9,0,沉睡客户
13619BA,311,2,4256.98,0,沉睡客户
13620BA,231,2,2480.89,0,沉睡客户
13621BA,268,1,219.9,0,沉睡客户
13622BA,236,2,2480.89,0,沉睡客户
13623BA,203,1,219.9,0,沉睡客户
13624BA,113,3,1517.97,0,沉睡客户
13625BA,105,3,3535.97,0,沉睡客户
13626BA,335,2,109.98,0,沉睡客户
13627BA,215,2,2260.99,0,沉睡客户
13628BA,233,2,2241.99,0,沉睡客户
13629BA,47,1,219.9,0,沉睡客户
13630BA,67,3,5566.77,0,沉睡客户
13631BA,89,3,1716.97,0,沉睡客户
13632BA,214,2,183.99,0,沉睡客户
13633BA,72,3,2577.87,0,沉睡客户
